Local de residência à data dos Censos [2021] (NUTS - 2013);S7A2011:2011-T:HM-T:Total-T:Total-T:Total;S7A2011:2011-T:HM-T:Total-01:A pé-T:Total;S7A2011:2011-T:HM-T:Total-02:Automovel ligeiro - como condutor-T:Total;S7A2011:2011-T:HM-T:Total-03:Automovel ligeiro - como passageiro-T:Total;S7A2011:2011-T:HM-T:Total-04:Autocarro-T:Total;S7A2011:2011-T:HM-T:Total-05:Transporte coletivo da empresa ou da escola-T:Total;S7A2011:2011-T:HM-T:Total-06:Metropolitano-T:Total;S7A2011:2011-T:HM-T:Total-07:Comboio-T:Total;S7A2011:2011-T:HM-T:Total-08:Motociclo-T:Total;S7A2011:2011-T:HM-T:Total-09:Bicicleta-T:Total;S7A2011:2011-T:HM-T:Total-10:Barco-T:Total;S7A2011:2011-T:HM-T:Total-11:Outro-T:Total;S7A2021:2021-T:HM-T:Total-T:Total-T:Total;S7A2021:2021-T:HM-T:Total-01:A pé-T:Total;S7A2021:2021-T:HM-T:Total-02:Automovel ligeiro - como condutor-T:Total;S7A2021:2021-T:HM-T:Total-03:Automovel ligeiro - como passageiro-T:Total;S7A2021:2021-T:HM-T:Total-04:Autocarro-T:Total;S7A2021:2021-T:HM-T:Total-05:Transporte coletivo da empresa ou da escola-T:Total;S7A2021:2021-T:HM-T:Total-06:Metropolitano-T:Total;S7A2021:2021-T:HM-T:Total-07:Comboio-T:Total;S7A2021:2021-T:HM-T:Total-08:Motociclo-T:Total;S7A2021:2021-T:HM-T:Total-09:Bicicleta-T:Total;S7A2021:2021-T:HM-T:Total-10:Barco-T:Total;S7A2021:2021-T:HM-T:Total-11:Outro-T:Total
1711:Santa Marta de Penaguião;3342;799;1248;589;369;290;4;9;19;1;0;14;2483;483;1171;420;255;125;2;6;7;1;0;13
1815:São João da Pesqueira;3919;1016;1296;696;551;310;3;9;15;3;0;20;3330;775;1328;578;275;336;1;2;19;3;2;11
1818:Sernancelhe;2344;529;934;342;352;155;2;0;17;6;0;7;2182;437;1071;287;183;186;0;0;8;5;0;5
1819:Tabuaço;2581;769;889;315;267;299;0;0;35;1;0;6;1909;492;759;271;227;140;0;1;16;1;0;2
1820:Tarouca;3569;704;1448;563;585;219;1;9;21;7;0;12;3392;659;1622;557;322;180;7;7;27;4;0;7
0409:Torre de Moncorvo;3548;938;1551;505;321;189;1;0;10;1;0;32;2560;620;1269;404;160;92;1;1;3;2;0;8
0914:Vila Nova de Foz Côa;3108;916;1197;511;203;216;4;14;10;7;0;30;2495;610;1129;413;125;180;0;8;16;9;0;5
1714:Vila Real;29629;4532;14919;6074;3167;686;10;0;143;19;0;79;26431;3910;14400;5308;2003;511;33;9;156;37;1;63
0401:Alfândega da Fé;2136;557;985;324;152;87;2;0;8;2;0;19;1641;408;846;259;73;43;0;1;4;0;0;7
0402:Bragança;18292;3851;9380;3842;751;306;11;0;54;20;0;77;17532;3706;9470;3417;587;180;4;4;62;52;1;49
0405:Macedo de Cavaleiros;6828;1808;2941;1026;592;353;1;0;31;5;0;71;5831;1527;2828;874;319;218;5;0;23;7;0;30
0406:Miranda do Douro;3117;829;1368;445;269;162;3;0;17;15;0;9;2591;662;1315;368;148;78;1;0;3;10;0;6
0407:Mirandela;11362;2977;5088;1943;877;315;9;0;54;16;0;83;9502;2351;4721;1689;429;191;8;0;43;19;0;51
0408:Mogadouro;3768;1084;1652;517;304;145;1;0;1;4;0;60;3186;814;1653;415;185;92;3;0;5;1;2;16
0410:Vila Flor;2975;790;1280;400;328;138;0;0;21;1;0;17;2395;563;1159;335;179;129;0;2;12;0;0;16
0411:Vimioso;1576;568;620;192;123;60;0;0;4;3;0;6;1422;468;636;171;85;45;0;0;1;4;0;12
0412:Vinhais;2856;696;1222;418;266;216;0;0;16;1;0;21;2451;633;1219;297;152;112;1;1;7;0;0;29
